Simga,Rajim,Rampur,Andhiyarkhore,Ghatora,Bamnidhi,Kurubhata,Kelo,Sundargarh,Paramanpur,Basantpur,Hirakud,Mean_areal_rainfall_upper
2.7,0.8,0.0,0.651,1.155,71.48,0.0,0.0,1.417,0.0,45.35,0.0,0.0
2.5,0.9,0.0,0.675,1.183,53.11,0.0,0.0,1.313,0.0,125.0,0.0,0.0
2.17,0.88,0.0,0.664,1.292,60.68,0.0,0.0,0.935,0.0,81.0,0.0,0.0
2.1,0.65,0.0,0.6,1.136,44.49,0.0,0.0,0.873,0.0,98.0,0.0,0.16689493670886077
2.03,0.652,0.0,0.642,1.1,28.49,1.478,0.0,0.81,0.0,117.0,0.0,0.0
1.85,0.708,0.0,0.592,0.99,60.98,1.485,0.0,0.777,0.0,125.0,0.0,0.10215379746835443
1.71,0.7,0.0,0.495,0.648,60.88,1.426,0.0,0.718,0.0,153.0,0.0,0.014381645569620254
1.66,0.617,0.0,0.499,0.721,40.56,1.41,0.0,0.675,0.0,103.0,0.0,0.0
1.43,0.608,0.0,0.511,0.628,76.73,1.386,0.0,0.683,0.0,115.0,0.0,0.006395569620253164
1.4,0.6,0.0,0.657,0.945,55.24,1.355,0.0,0.71,0.0,86.0,0.0,0.24500759493670884
1.45,0.5,0.0,0.6,0.853,30.0,1.256,0.0,1.31,0.0,81.0,0.0,0.011100632911392405
1.49,0.4,0.0,0.679,0.9,45.97,1.2,0.0,1.33,0.0,103.0,0.0,0.0
1.416,0.4,0.0,0.558,0.933,55.13,1.152,0.0,0.956,0.0,103.0,0.0,0.27897594936708864
1.32,0.3,0.0,0.584,0.686,61.28,1.102,0.0,0.76,0.0,70.0,0.0,1.2778145569620254
1.23,0.4,0.0,0.557,0.697,85.83,1.1,0.0,0.755,0.0,87.0,0.0,1.5127506329113927
1.19,1.148,0.0,0.56,0.939,73.84,1.098,0.0,0.707,0.0,80.0,0.0,2.339867721518987
1.48,1.531,0.0,0.657,0.937,56.58,1.047,0.0,0.673,0.0,148.0,0.0,2.646309493670886
1.2,6.0,0.0,0.7,0.879,87.5,1.074,0.0,1.45,0.0,125.0,0.0,5.9336145569620244
1.82,5.0,0.0,22.252,1.1,70.61,1.056,0.0,1.898,0.0,168.0,0.0,4.348547468354431
13.0,4.515,0.0,21.44,1.06,70.4,0.989,0.0,5.287,0.0,150.0,0.0,14.863277215189871
38.58,8.837,0.0,140.68,1.262,70.29,0.982,0.0,3.766,0.0,166.0,0.0,8.277932278481012
66.32,7.0,0.0,20.703,1.693,129.5,1.0,0.0,4.804,0.0,165.0,0.0,15.073958227848106
58.27,8.126,0.0,11.4,1.778,177.4,3.797,0.0,20.425,0.0,299.0,0.0,17.5297917721519
48.11,10.185,0.0,9.754,1.778,87.38,2.919,0.0,55.02,0.0,366.2,0.0,10.133413924050632
36.78,10.2,0.0,8.0,1.86,31.69,3.56,0.0,90.0,0.0,245.0,0.0,1.1944037974683548
29.85,15.73,0.0,7.315,1.72,41.4,48.35,0.0,45.89,0.0,202.0,0.0,3.7750107594936693
17.61,22.11,0.0,6.244,1.638,28.5,50.11,0.0,29.29,0.0,183.0,0.0,7.125581645569617
14.46,20.173,0.0,6.123,1.337,34.82,60.86,0.0,40.05,0.0,189.0,0.0,4.295846835443041
13.9,15.06,0.0,10.272,1.235,31.85,50.0,0.0,60.07,0.0,130.0,0.0,2.321558860759493
13.85,12.0,0.0,10.142,1.003,79.2,28.34,0.0,48.12,0.0,100.0,0.0,6.798663924050634
42.47,9.612,3.388,6.296,1.093,136.41,21.87,0.0,66.36,0.0,269.0,339.245,13.932778481012654
75.47,9.6,2.9,10.0,0.898,146.35,29.53,0.0,72.01,0.0,284.0,226.617,14.747038607594945
48.34,14.329,1.848,9.015,1.1,113.6,16.89,0.0,36.43,0.0,434.9,389.202,2.65331582278481
29.2,16.74,3.857,6.002,1.02,123.8,45.0,0.0,26.504,0.0,519.2,427.632,0.0523620253164557
28.15,16.6,5.273,4.22,0.788,65.69,54.17,0.0,17.732,0.0,439.5,488.35,0.9762860759493669
25.23,14.23,5.599,5.282,0.863,56.05,45.0,0.0,8.629,0.0,254.1,536.664,0.5704879746835444
24.21,12.67,4.252,3.501,0.935,63.89,34.08,0.0,9.456,0.0,241.7,579.512,3.4811189873417723
46.28,18.56,3.453,38.294,0.971,58.3,23.58,0.0,16.642,0.0,227.3,317.524,20.27274050632911
176.3,14.3,3.0,10.0,1.169,64.5,17.19,0.0,36.4,0.0,227.2,490.814,4.372844303797466
155.0,9.888,3.85,24.1,1.9,50.78,14.97,0.0,54.82,0.0,155.4,270.201,14.67225506329114
255.3,11.33,4.479,9.339,1.03,139.5,11.74,0.0,264.4,0.0,671.7,393.082,7.10611898734177
185.4,10.45,4.167,22.375,0.989,61.12,8.51,0.0,152.5,0.0,682.7,441.424,12.790653797468352
177.3,12.957,21.05,14.702,0.995,77.52,18.0,0.0,92.61,0.0,746.1,853.027,8.626780379746837
248.0,19.52,23.11,25.63,0.974,68.56,30.71,0.0,82.95,0.0,547.7,1137.9,19.13426835443038
201.4,44.578,8.305,10.328,1.073,195.2,45.42,0.0,315.5,0.0,582.3,1686.91,25.182112025316478
173.0,71.0,2.0,12.0,0.961,264.31,130.6,0.0,450.1,0.0,890.2,1568.81,14.128073417721517
560.4,59.98,92.08,34.914,0.95,130.6,122.6,0.0,248.7,0.0,909.4,2131.62,10.992050632911395
392.2,50.757,92.0,13.952,0.965,1550.9,130.2,0.0,800.3,0.0,1567.0,1997.41,43.357024683544324
452.5,264.104,30.47,32.563,0.894,480.0,168.1,0.0,600.6,0.0,1948.0,5322.46,24.486393037974686
799.9,1100.0,115.1,120.198,0.964,174.7,215.0,0.0,600.0,0.0,908.3,4641.02,35.14755759493671
2793.0,538.2,158.3,50.0,0.796,120.5,210.7,0.0,651.923,0.0,2834.0,2929.36,9.478377215189877
2162.0,348.43,151.8,43.911,0.743,121.6,2200.0,0.0,355.04,0.0,4499.0,4527.21,28.03906518987342
1534.0,1295.0,200.0,80.0,0.7,300.7,495.6,0.0,405.6,0.0,4100.0,9536.0,38.56070696202531
2468.0,3340.31,1629.0,228.329,0.75,297.2,311.5,0.0,487.3,0.0,6827.0,10466.7,41.44994367088607
4857.0,1320.21,2764.0,219.37,0.961,193.5,391.8,0.0,321.9,0.0,15619.0,10917.2,4.138863291139237
